# Frequency (cm-1)	Intensity (arb. units)
1190.16	1.293721e-10
1191.49	1.285780e-10
1192.83	1.277898e-10
1194.16	1.270074e-10
1195.49	1.262309e-10
1196.83	1.254600e-10
1198.16	1.246948e-10
1199.50	1.239353e-10
1200.83	1.231813e-10
1202.16	1.224329e-10
1203.50	1.216900e-10
1204.83	1.209525e-10
1206.17	1.202203e-10
1207.50	1.194936e-10
1208.84	1.187721e-10
1210.17	1.180559e-10
1211.50	1.173449e-10
1212.84	1.166390e-10
1214.17	1.159383e-10
1215.51	1.152427e-10
1216.84	1.145521e-10
1218.18	1.138665e-10
1219.51	1.131858e-10
1220.84	1.125100e-10
1222.18	1.118391e-10
1223.51	1.111731e-10
1224.85	1.105118e-10
1226.18	1.098552e-10
1227.52	1.092034e-10
1228.85	1.085562e-10
1230.18	1.079136e-10
1231.52	1.072757e-10
1232.85	1.066423e-10
1234.19	1.060133e-10
1235.52	1.053889e-10
1236.86	1.047689e-10
1238.19	1.041533e-10
1239.52	1.035420e-10
1240.86	1.029351e-10
1242.19	1.023325e-10
1243.53	1.017341e-10
1244.86	1.011399e-10
1246.20	1.005499e-10
1247.53	9.996406e-11
1248.86	9.938233e-11
1250.20	9.880468e-11
1251.53	9.823107e-11
1252.87	9.766148e-11
1254.20	9.709586e-11
1255.54	9.653419e-11
1256.87	9.597644e-11
1258.20	9.542256e-11
1259.54	9.487254e-11
1260.87	9.432634e-11
1262.21	9.378392e-11
1263.54	9.324526e-11
1264.88	9.271032e-11
1266.21	9.217908e-11
1267.54	9.165150e-11
1268.88	9.112756e-11
1270.21	9.060723e-11
1271.55	9.009047e-11
1272.88	8.957726e-11
1274.21	8.906757e-11
1275.55	8.856137e-11
1276.88	8.805863e-11
1278.22	8.755932e-11
1279.55	8.706343e-11
1280.89	8.657091e-11
1282.22	8.608174e-11
1283.55	8.559590e-11
1284.89	8.511336e-11
1286.22	8.463409e-11
1287.56	8.415807e-11
1288.89	8.368526e-11
1290.23	8.321566e-11
1291.56	8.274922e-11
1292.89	8.228592e-11
